feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
843.0,11061.0,57.0,8.0,6298.0,445.0,133.0,336.0,0.16132858837485173,0.03084223013048636
195.0,243.0,11.0,8.0,16.0,30.0,4.0,29.0,0.5794871794871795,0.5230769230769231
226.0,55.0,1.0,2.0,51.0,8.0,5.0,3.0,0.08849557522123894,0.022123893805309734
4986.0,28354.0,170.0,170.0,19697.0,987.0,531.0,623.0,0.30605695948656236,0.17067789811472123
210.0,1037.0,118.0,6.0,250.0,137.0,16.0,128.0,0.7904761904761904,0.3380952380952381
244.0,462.0,15.0,3.0,378.0,27.0,1.0,27.0,0.11065573770491803,0.11065573770491803
510.0,432.0,69.0,10.0,6.0,111.0,1.0,111.0,0.0803921568627451,0.056862745098039215
149.0,341.0,5.0,9.0,13.0,49.0,2.0,48.0,0.7583892617449665,0.5369127516778524
84.0,205.0,3.0,10.0,44.0,31.0,6.0,28.0,0.13095238095238096,0.10714285714285714
342.0,108.0,0.0,3.0,23.0,18.0,11.0,12.0,0.13157894736842105,0.09064327485380116
457.0,294.0,2.0,2.0,57.0,48.0,12.0,39.0,0.7614879649890591,0.6455142231947484
1752.0,201.0,32.0,16.0,64.0,78.0,23.0,59.0,0.7648401826484018,0.6141552511415526
471.0,344.0,54.0,38.0,285.0,92.0,63.0,37.0,0.5881104033970276,0.4288747346072187
469.0,7962.0,5.0,3.0,7859.0,59.0,47.0,14.0,0.13219616204690832,0.1279317697228145
910.0,1955.0,35.0,36.0,24.0,156.0,9.0,153.0,0.23076923076923078,0.06703296703296703
499.0,668.0,0.0,1.0,581.0,37.0,22.0,16.0,0.12224448897795591,0.09418837675350701
1989.0,4399.0,1989.0,0.0,181.0,2096.0,26.0,2096.0,0.2458521870286576,0.2433383609854198
420.0,415.0,18.0,14.0,3.0,108.0,1.0,107.0,0.680952380952381,0.5714285714285714
495.0,87.0,6.0,4.0,67.0,15.0,3.0,12.0,0.03838383838383838,0.026262626262626262
68.0,458.0,14.0,3.0,28.0,31.0,1.0,30.0,0.7352941176470589,0.6176470588235294
58.0,85.0,1.0,0.0,73.0,4.0,2.0,2.0,0.6896551724137931,0.3103448275862069
270.0,1772.0,149.0,29.0,111.0,260.0,32.0,248.0,0.19852941176470587,0.058823529411764705
953.0,412.0,17.0,15.0,213.0,92.0,30.0,72.0,0.6904512067156349,0.6190975865687304
218.0,4135.0,139.0,67.0,30.0,421.0,3.0,421.0,0.13761467889908258,0.01834862385321101
351.0,857.0,0.0,6.0,769.0,19.0,4.0,15.0,0.06267806267806268,0.022792022792022793
482.0,343.0,2.0,12.0,269.0,65.0,44.0,21.0,0.1016597510373444,0.056016597510373446
498.0,102.0,4.0,4.0,69.0,24.0,10.0,16.0,0.10240963855421686,0.10240963855421686
486.0,570.0,37.0,25.0,223.0,112.0,37.0,88.0,0.3045267489711934,0.24691358024691357
485.0,738.0,123.0,135.0,410.0,199.0,56.0,160.0,0.17525773195876287,0.05360824742268041
152.0,737.0,0.0,1.0,260.0,60.0,22.0,55.0,0.9671052631578947,0.9473684210526315
410.0,514.0,6.0,6.0,123.0,62.0,17.0,53.0,0.6829268292682927,0.5463414634146342
28.0,160.0,2.0,0.0,85.0,25.0,18.0,18.0,0.9642857142857143,0.9642857142857143
826.0,2866.0,95.0,21.0,1431.0,225.0,58.0,178.0,0.22276029055690072,0.22276029055690072
394.0,158.0,12.0,20.0,0.0,45.0,0.0,45.0,0.4796954314720812,0.36548223350253806
384.0,1532.0,4.0,6.0,554.0,60.0,38.0,48.0,0.4817708333333333,0.3958333333333333
571.0,8269.0,4.0,4.0,5501.0,101.0,69.0,64.0,0.39404553415061294,0.2539404553415061
714.0,314.0,6.0,65.0,0.0,83.0,0.0,83.0,0.12885154061624648,0.10084033613445378
211.0,2675.0,211.0,0.0,1178.0,647.0,53.0,628.0,0.1990521327014218,0.037914691943127965
1363.0,548.0,20.0,35.0,0.0,47.0,0.0,47.0,0.09757887013939838,0.016140865737344093
310.0,358.0,0.0,3.0,136.0,37.0,10.0,29.0,0.23225806451612904,0.15161290322580645
1387.0,1462.0,24.0,23.0,652.0,220.0,38.0,188.0,0.4405191059841384,0.410958904109589
468.0,730.0,27.0,20.0,345.0,93.0,23.0,78.0,0.41239316239316237,0.2905982905982906
370.0,1712.0,2.0,20.0,54.0,102.0,6.0,100.0,0.11351351351351352,0.04594594594594595
490.0,341.0,9.0,8.0,98.0,40.0,13.0,31.0,0.09591836734693877,0.030612244897959183
244.0,838.0,16.0,6.0,369.0,66.0,15.0,53.0,0.12704918032786885,0.045081967213114756
168.0,744.0,13.0,0.0,652.0,50.0,41.0,13.0,0.6071428571428571,0.27976190476190477
134.0,107.0,0.0,4.0,94.0,12.0,3.0,9.0,0.47761194029850745,0.47761194029850745
445.0,362.0,3.0,15.0,292.0,47.0,13.0,36.0,0.14831460674157304,0.10561797752808989
251.0,772.0,16.0,10.0,598.0,71.0,51.0,26.0,0.19123505976095617,0.0796812749003984
325.0,655.0,12.0,13.0,476.0,36.0,12.0,28.0,0.1723076923076923,0.11692307692307692
491.0,647.0,46.0,48.0,221.0,120.0,37.0,102.0,0.6008146639511202,0.45824847250509165
81.0,214.0,5.0,1.0,20.0,24.0,3.0,23.0,0.7160493827160493,0.5925925925925926
287.0,878.0,4.0,6.0,734.0,81.0,50.0,34.0,0.5853658536585366,0.3310104529616725
887.0,135.0,36.0,26.0,0.0,52.0,0.0,52.0,0.7711386696730552,0.5862457722660653
499.0,1296.0,6.0,6.0,1270.0,66.0,53.0,15.0,0.0781563126252505,0.0781563126252505
1607.0,269.0,3.0,10.0,178.0,72.0,35.0,39.0,0.5046670815183572,0.2874922215308027
497.0,191.0,6.0,9.0,119.0,38.0,12.0,28.0,0.03822937625754527,0.022132796780684104
1658.0,975.0,110.0,19.0,536.0,201.0,77.0,142.0,0.7831325301204819,0.6156626506024097
25.0,438.0,22.0,0.0,303.0,74.0,10.0,72.0,0.28,0.16
1208.0,161.0,0.0,10.0,25.0,30.0,4.0,27.0,0.6663907284768212,0.6663907284768212
485.0,4708.0,5.0,2.0,4574.0,142.0,133.0,22.0,0.2515463917525773,0.12989690721649486
456.0,222.0,6.0,5.0,127.0,50.0,15.0,41.0,0.13815789473684212,0.03728070175438596
500.0,4701.0,500.0,0.0,312.0,596.0,43.0,596.0,0.134,0.032
1012.0,912.0,5.0,3.0,646.0,85.0,54.0,44.0,0.18280632411067194,0.06719367588932806
1956.0,12008.0,128.0,63.0,2167.0,290.0,88.0,245.0,0.09815950920245399,0.09815950920245399
31.0,302.0,1.0,0.0,265.0,16.0,16.0,7.0,1.0,0.8387096774193549
771.0,3449.0,51.0,2.0,1393.0,215.0,96.0,170.0,0.2191958495460441,0.08171206225680934
123.0,597.0,31.0,2.0,139.0,45.0,12.0,37.0,0.10569105691056911,0.04065040650406504
1884.0,8820.0,2.0,15.0,5439.0,363.0,158.0,259.0,0.1751592356687898,0.131104033970276
437.0,657.0,6.0,5.0,347.0,67.0,19.0,54.0,0.620137299771167,0.5148741418764302
1017.0,54.0,2.0,14.0,0.0,14.0,0.0,14.0,0.18289085545722714,0.06489675516224189
188.0,12.0,0.0,2.0,5.0,6.0,3.0,5.0,0.047872340425531915,0.02127659574468085
367.0,3632.0,8.0,1629.0,357.0,1667.0,28.0,1641.0,0.07356948228882834,0.02997275204359673
487.0,663.0,6.0,9.0,636.0,56.0,42.0,16.0,0.039014373716632446,0.026694045174537988
828.0,8067.0,0.0,25.0,2460.0,219.0,31.0,204.0,0.21980676328502416,0.057971014492753624
190.0,509.0,9.0,17.0,336.0,34.0,3.0,33.0,0.35789473684210527,0.32105263157894737
378.0,409.0,0.0,3.0,346.0,47.0,26.0,26.0,0.21428571428571427,0.07407407407407407
15.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,0.26666666666666666,0.26666666666666666
1270.0,3614.0,1270.0,0.0,62.0,2012.0,6.0,2011.0,0.41732283464566927,0.41732283464566927
218.0,1343.0,51.0,15.0,50.0,123.0,11.0,118.0,0.7798165137614679,0.6788990825688074
345.0,321.0,2.0,1.0,180.0,74.0,33.0,57.0,0.8927536231884058,0.8521739130434782
1305.0,921.0,5.0,14.0,595.0,96.0,41.0,67.0,0.11724137931034483,0.031417624521072794
358.0,373.0,35.0,20.0,183.0,81.0,26.0,61.0,0.0782122905027933,0.0335195530726257
419.0,340.0,0.0,2.0,310.0,20.0,12.0,8.0,0.36515513126491644,0.22673031026252982
509.0,1485.0,1.0,23.0,1446.0,24.0,2.0,22.0,0.14145383104125736,0.019646365422396856
249.0,997.0,21.0,12.0,895.0,66.0,31.0,44.0,0.1686746987951807,0.10040160642570281
132.0,626.0,1.0,1.0,419.0,25.0,17.0,15.0,0.5303030303030303,0.2727272727272727
111.0,178.0,3.0,3.0,71.0,41.0,12.0,37.0,0.963963963963964,0.9459459459459459
353.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0764872521246459,0.025495750708215296
745.0,242.0,15.0,30.0,73.0,57.0,10.0,54.0,0.1221476510067114,0.04161073825503356
200.0,68.0,3.0,2.0,56.0,7.0,3.0,4.0,0.075,0.015
489.0,5153.0,6.0,5.0,1249.0,118.0,31.0,106.0,0.08793456032719836,0.024539877300613498
498.0,341.0,1.0,3.0,185.0,36.0,18.0,27.0,0.5582329317269076,0.5582329317269076
151.0,306.0,7.0,4.0,191.0,25.0,6.0,19.0,0.3708609271523179,0.2980132450331126
1008.0,905.0,99.0,15.0,744.0,300.0,220.0,113.0,0.2801980198019802,0.13861386138613863
199.0,2001.0,36.0,8.0,694.0,79.0,30.0,62.0,0.1457286432160804,0.04020100502512563
122.0,671.0,2.0,0.0,12.0,30.0,2.0,29.0,0.8032786885245902,0.7540983606557377
184.0,199.0,19.0,2.0,93.0,37.0,16.0,29.0,0.1358695652173913,0.03260869565217391
92.0,292.0,92.0,0.0,74.0,50.0,8.0,45.0,0.10869565217391304,0.05434782608695652
1520.0,221.0,0.0,89.0,158.0,59.0,2.0,58.0,0.19539473684210526,0.15986842105263158
695.0,6695.0,3.0,18.0,6637.0,25.0,2.0,24.0,0.07194244604316546,0.017266187050359712
952.0,1490.0,21.0,29.0,203.0,226.0,25.0,212.0,0.8029350104821803,0.6331236897274634
1852.0,51849.0,365.0,303.0,8421.0,1508.0,119.0,1469.0,0.6256742179072277,0.33980582524271846
1578.0,41837.0,30.0,41.0,8057.0,463.0,140.0,407.0,0.2039265357821406,0.2039265357821406
995.0,330.0,8.0,11.0,276.0,65.0,46.0,20.0,0.06834170854271357,0.06633165829145729
291.0,11816.0,126.0,40.0,522.0,465.0,12.0,461.0,0.7285223367697594,0.6116838487972509
1702.0,81688.0,157.0,31.0,519.0,367.0,17.0,360.0,0.8443008225616921,0.18742655699177438
1994.0,2906.0,62.0,54.0,1396.0,343.0,153.0,232.0,0.5611835506519559,0.49047141424272817
194.0,99.0,23.0,13.0,67.0,19.0,3.0,18.0,0.18556701030927836,0.06701030927835051
1939.0,4602.0,18.0,75.0,1415.0,540.0,137.0,463.0,0.9468798349664775,0.7132542547705003
107.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.5233644859813084,0.42990654205607476
256.0,2333.0,256.0,0.0,2066.0,251.0,1.0,251.0,0.125,0.01953125
